speaker,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
CA1HA_87,299.84000000000003,1,287.5661444582602,874.9716229542429,2400.6934195697836,124.57466048897093,84.04534596086039,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.08500000000004,2,420.26153912363395,1260.6445905713492,2191.9636097434527,--undefined--,77.89238589222788,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.15999999999997,3,698.8217883951294,1460.3662140865367,1640.0799763084792,--undefined--,80.09434869371697,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.23,4,543.2671353243773,1823.585421590188,2590.0012350199736,120.9714083851238,80.67235052874821,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.29499999999996,5,482.0156684740333,1859.0212085035487,2381.500657007379,119.34656250803884,79.82654780606485,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.355,6,333.3372845908595,1626.919275066378,2054.076578486284,120.79956342238111,80.78950700750877,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.405,7,594.310371688542,1574.246594884752,2289.649683685718,121.60216305079902,80.37726393654006,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.445,8,516.8924759520811,1706.2541113939133,2169.9658185263297,135.34588559082724,81.87701338030598,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.485,9,477.2379112091585,1413.8612659381022,2231.8110901941773,155.1833622216074,83.61639241109138,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.53,10,305.6363731855712,1776.5204377154641,2516.4562402712304,160.92998752667097,82.63142550176323,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.57,11,377.869543254104,1494.6823572584656,2246.5848304288115,--undefined--,72.96820395772745,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.615,12,472.1740786126069,1327.0214806024092,2562.2810456864117,179.7374010764673,82.55292985624627,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.655,13,309.4205147520507,860.4993239809169,2110.0733630626937,167.93352432916768,81.71193100943212,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.70500000000004,14,535.48827851478,1621.8685051240068,2586.5853694335874,142.84368454327802,76.81454118596118,0,0,0,0,0,0,0,0,0,0,0,0
CA1HA_87,300.76,15,474.58059307899805,1104.50420393615,2118.3934411540495,135.61329006582986,82.38312981694467,0,0,0,0,0,0,0,0,0,0,0,0
