speaker,time,row_index
CA1HA_87,316.6388,219
CA1HA_87,316.6738,220
CA1HA_87,316.7438,221
CA1HA_87,316.8088,222
CA1HA_87,316.8538,223
CA1HA_87,316.9088,224
CA1HA_87,316.9588,225
CA1HA_87,317.0138,226
CA1HA_87,317.0938,227
CA1HA_87,317.1588,228
CA1HA_87,317.1838,229
CA1HA_87,317.2188,230
CA1HA_87,317.2838,231
CA1HA_87,317.3838,232
CA1HA_87,317.5188,233
CA1HA_87,317.6538,234
CA1HA_87,317.7688,235
CA1HA_87,318.61,236
CA1HA_87,318.675,237
CA1HA_87,318.74,238
CA1HA_87,318.815,239
CA1HA_87,318.87,240
CA1HA_87,318.95,241
CA1HA_87,319.03,242
CA1HA_87,319.09,243
CA1HA_87,319.165,244
CA1HA_87,319.305,245
CA1HA_87,319.46,246
CA1HA_87,319.585,247
CA1HA_87,319.71,248
CA1HA_87,319.88,249
CA1HA_87,320.2945,250
CA1HA_87,320.3845,251
CA1HA_87,320.4595,252
CA1HA_87,320.5145,253
CA1HA_87,320.5645,254
CA1HA_87,320.6195,255
CA1HA_87,320.6745,256
CA1HA_87,320.7295,257
CA1HA_87,320.7995,258
CA1HA_87,320.8545,259
CA1HA_87,320.8945,260
CA1HA_87,320.9495,261
CA1HA_87,321.0245,262
CA1HA_87,321.0745,263
CA1HA_87,321.1195,264
CA1HA_87,321.1795,265
CA1HA_87,321.2245,266
CA1HA_87,321.2645,267
CA1HA_87,321.3045,268
CA1HA_87,321.3445,269
CA1HA_87,321.3795,270
CA1HA_87,321.4095,271
CA1HA_87,321.4545,272
CA1HA_87,321.5145,273
CA1HA_87,321.5595,274
CA1HA_87,321.5895,275
CA1HA_87,321.6195,276
CA1HA_87,321.6495,277
CA1HA_87,321.6795,278
CA1HA_87,321.7145,279
CA1HA_87,321.7495,280
CA1HA_87,321.7795,281
CA1HA_87,321.8095,282
CA1HA_87,321.8395,283
CA1HA_87,322.5122,284
CA1HA_87,322.5772,285
CA1HA_87,322.6422,286
CA1HA_87,322.6772,287
CA1HA_87,322.7222,288
CA1HA_87,322.7572,289
CA1HA_87,322.7972,290
CA1HA_87,322.8422,291
CA1HA_87,322.8922,292
CA1HA_87,322.9322,293
CA1HA_87,322.9522,294
CA1HA_87,322.9722,295
CA1HA_87,323.0022,296
CA1HA_87,323.0322,297
CA1HA_87,323.0622,298
CA1HA_87,323.1022,299
CA1HA_87,323.1422,300
CA1HA_87,323.1822,301
CA1HA_87,323.2272,302
CA1HA_87,323.2622,303
CA1HA_87,323.2922,304
