speaker,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue
CA1HA_87,299.84,1,316.7089504776361,1201.6227669754808,2457.9901302451763,122.54598544947312,83.17472411560212
CA1HA_87,300.085,2,641.7002750400084,1337.0635932084465,1716.969645037327,--undefined--,77.38599421227316
CA1HA_87,300.16,3,576.6456906481952,1775.7794737415,1818.2050933244004,120.74667511861244,82.02246072548051
CA1HA_87,300.23,4,508.539806937742,1545.8012604579023,1966.0304357665702,122.37053814047395,80.90742609723351
CA1HA_87,300.295,5,333.6650313392043,1524.1566740903065,1856.4310257111013,120.21308303483555,81.10233825035561
CA1HA_87,300.355,6,602.2408166952015,1574.8470120337486,1689.8854183438068,122.43627520148118,80.36552949916859
CA1HA_87,300.405,7,533.7475382493385,1347.2162065108444,2223.4813783268132,145.7297828216592,83.39748415765861
CA1HA_87,300.445,8,461.8752454592148,880.2531353357992,1708.7849413832691,158.06483023819138,82.25547229845134
CA1HA_87,300.485,9,327.72352743160417,1289.1335483111563,1817.1200819814135,132.7112001279885,80.71261961205451
CA1HA_87,300.53,10,428.7428907796127,1219.8195858995,1898.4239833329505,--undefined--,72.2543675774089
CA1HA_87,300.57,11,477.7639112564134,1036.049331663229,2150.7255292130744,179.0415770609575,82.26505083742575
CA1HA_87,300.615,12,406.0234735697697,723.6105314209397,1731.8565858317538,158.34489522821158,79.81206066182575
CA1HA_87,300.655,13,390.0915039539187,774.4376936723271,1837.120932062641,142.60365659106304,78.95605755555451
CA1HA_87,300.705,14,467.5809887737675,1080.5003541445842,2034.570297681946,134.64989393407132,82.75572802063435
CA1HA_87,300.76,15,343.445147708863,1386.4789980085343,1860.2998292369477,126.53643535379173,83.38809447177796
CA1HA_87,300.8,16,400.6276032186238,1145.1163963030504,2201.6963196206157,123.74175567194513,82.95878222786645
CA1HA_87,300.85,17,349.84619571576343,1132.467764612414,2075.390563779988,112.15773739271151,76.65697369965083
CA1HA_87,300.915,18,293.47299848313816,1396.8178538598322,2260.915423915652,--undefined--,70.92772839136312
CA1HA_87,301.025,19,485.440326970061,1976.8739013395882,2587.988544980444,165.93662667892667,74.31896030199577
CA1HA_87,301.155,20,418.56387268119727,1306.380921922949,1905.5163119974736,--undefined--,74.14089187936973
CA1HA_87,301.225,21,390.2454476467965,1401.468472701827,2310.501764936656,131.60538184918556,83.63833128618464
CA1HA_87,301.285,22,320.62262329184443,974.0160894523933,2307.969879011037,124.40473147015601,81.60117591767576
CA1HA_87,301.38,23,297.3065887213159,1361.2117693750702,2296.637747002491,111.66994929578739,81.07777719889653
CA1HA_87,301.505,24,336.08861544856296,1138.5451098605854,2370.329402695868,96.87231196528526,78.49824517724906
CA1HA_87,301.61,25,357.13257103363316,1342.178618808374,1952.6464048903747,97.91468783108623,73.11590007411553
CA1HA_87,301.755,26,465.98565453595637,1711.6510987401803,2268.6490319645013,87.49330141467605,75.91832456791458
CA1HA_87,302.045,27,271.92891669273047,1683.052993111131,2503.2697131952086,98.80700615281124,76.59525800031591
CA1HA_87,302.145,28,375.11607546241447,1336.9027473537014,2072.98232064852,106.22499733277816,82.12097115346091
CA1HA_87,302.215,29,342.6776542876681,1330.8774071066885,2250.969974300597,103.63301777221011,81.6862830988136
CA1HA_87,302.275,30,592.5845989992077,1555.8216661673089,2509.149823693602,101.95344808082474,81.40360528694475
CA1HA_87,302.32,31,444.2137618475807,1000.0302459950105,1940.3115326328673,102.62524255997934,80.59922698736564
CA1HA_87,302.36,32,332.92873786361724,1412.595402488449,1765.8928317244158,104.05668042603895,81.64287815463194
CA1HA_87,302.41,33,383.76446621420797,1133.2852251691324,2105.0950742275186,103.94700731184257,79.3608745832868
