speaker,previous,segment,following,onset,offset,dur,previousWord,word,followingWord,wordOnset,wordOffset,wordDur,previousText,text,followingText,textOnset,textOffset,textDur,position,wordposition,segments,previous_segs,following_segs,type,prevManner,manner,follManner,prevMannerMaj,mannerMaj,follMannerMaj,prevPlaceMaj,placeMaj,follPlaceMaj,prevVoicing,voicing,follVoicing,mid,wordMid
CA1HA_87,e,n,t̪,300.82,300.88,0.060000000000002274,el,componente,además,300.51,301.1,0.5900000000000318,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,n,e,t̪,semivowel,vowel,nasal,numeric,vowel,sonorant,numeric,vowel,coronal,numeric,voiced,voiced,numeric,300.85,300.805
CA1HA_87,n,t̪,e,300.88,300.95,0.06999999999999318,el,componente,además,300.51,301.1,0.5900000000000318,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,t̪,n,e,numeric,nasal,numeric,vowel,sonorant,numeric,vowel,coronal,numeric,vowel,voiced,numeric,voiced,300.91499999999996,300.805
CA1HA_87,t̪,e,t̪,300.95,301.1,0.1500000000000341,el,componente,además,300.51,301.1,0.5900000000000318,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,final,medial,e,t̪,t̪,vowel,numeric,vowel,numeric,numeric,vowel,numeric,numeric,vowel,numeric,numeric,voiced,numeric,301.025,300.805
CA1HA_87,e,t̪,e,301.14,301.17,0.03000000000002956,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,initial,medial,t̪,e,e,numeric,vowel,numeric,vowel,vowel,numeric,vowel,vowel,numeric,vowel,voiced,numeric,voiced,301.155,301.485
CA1HA_87,t̪,e,ɣ,301.17,301.28,0.1099999999999568,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,e,t̪,ɣ,vowel,numeric,vowel,numeric,numeric,vowel,numeric,numeric,vowel,numeric,numeric,voiced,numeric,301.225,301.485
CA1HA_87,e,ɣ,n,301.28,301.29,0.010000000000047748,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,ɣ,e,n,numeric,vowel,numeric,nasal,vowel,numeric,sonorant,vowel,numeric,coronal,voiced,numeric,voiced,301.28499999999997,301.485
CA1HA_87,ɣ,n,i,301.29,301.47,0.18000000000000682,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,n,ɣ,i,semivowel,numeric,nasal,vowel,numeric,sonorant,vowel,numeric,coronal,vowel,numeric,voiced,voiced,301.38,301.485
CA1HA_87,n,i,k,301.47,301.54,0.06999999999999318,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,i,n,k,vowel,nasal,vowel,stop,sonorant,vowel,obstruent,coronal,vowel,dorsal,voiced,voiced,voiceless,301.505,301.485
CA1HA_87,i,k,o,301.54,301.68,0.13999999999998636,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,k,i,o,semivowel,vowel,stop,vowel,vowel,obstruent,vowel,vowel,dorsal,vowel,voiced,voiceless,voiced,301.61,301.485
CA1HA_87,k,o,d̪,301.68,301.83,0.14999999999997726,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,final,medial,o,k,d̪,vowel,stop,vowel,numeric,obstruent,vowel,numeric,dorsal,vowel,numeric,voiceless,voiced,numeric,301.755,301.485
