"full","file","name","dur"
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB2HD_87.mp3","CB2HD_87.mp3","CB2HD_87",1804.43
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB2HG_08.mp3","CB2HG_08.mp3","CB2HG_08",2880.63
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB2HI_09.mp3","CB2HI_09.mp3","CB2HI_09",2877.54
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB2MA_87.mp3","CB2MA_87.mp3","CB2MA_87",1812.74
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB2MB_87.mp3","CB2MB_87.mp3","CB2MB_87",1864.46
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB2MD_06.mp3","CB2MD_06.mp3","CB2MD_06",2703.99
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB2MG_13.mp3","CB2MG_13.mp3","CB2MG_13",2806.99
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB3HA_87.mp3","CB3HA_87.mp3","CB3HA_87",1872.88
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB3HD_08.mp3","CB3HD_08.mp3","CB3HD_08",2844
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB3HD_87.mp3","CB3HD_87.mp3","CB3HD_87",1846.94
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB3HE_09.mp3","CB3HE_09.mp3","CB3HE_09",2981.41
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB3MA_06.mp3","CB3MA_06.mp3","CB3MA_06",4191.34
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB3MC_87.mp3","CB3MC_87.mp3","CB3MC_87",1852.11
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB3MD_87.mp3","CB3MD_87.mp3","CB3MD_87",1891
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CB3MF_09.mp3","CB3MF_09.mp3","CB3MF_09",2783.27
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC1HC_87.mp3","CC1HC_87.mp3","CC1HC_87",1873.97
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC1HD_87.mp3","CC1HD_87.mp3","CC1HD_87",1845.39
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC1HF_10.mp3","CC1HF_10.mp3","CC1HF_10",2950.99
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC1HG_13.mp3","CC1HG_13.mp3","CC1HG_13",2928.14
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC1MC_87.mp3","CC1MC_87.mp3","CC1MC_87",1883.27
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC1MD_87.mp3","CC1MD_87.mp3","CC1MD_87",1896.91
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC1ME_09.mp3","CC1ME_09.mp3","CC1ME_09",2937.82
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC1MF_09.mp3","CC1MF_09.mp3","CC1MF_09",2867.47
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC2HA_04.mp3","CC2HA_04.mp3","CC2HA_04",3809.65
