speaker,previous,segment,following,onset,offset,dur,previousWord,word,followingWord,wordOnset,wordOffset,wordDur,previousText,text,followingText,textOnset,textOffset,textDur,position,wordposition,segments,previous_segs,following_segs,segment_original_segments,segment_source_segments,segment_phonological_segments,segment_type_segments,segment_manner_segments,segment_place_segments,segment_majorplace_segments,segment_voicing_segments,segment_rounding_segments,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,duration_ms,segmentid,is_outlier,F1,F2,gender,context,F1_norm,F2_norm,F1_sc,F2_sc
CA1HA_87,n,i,k,301.47,301.54,0.0699999999999931,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,i,n,k,i,i,i,vowel,high,front,FRONT,voiced,unrounded,301.505,24,326.6909462773715,1240.0698138970847,2196.7049306033787,107.98404156086661,79.91916745125354,0,0,0,0,0,0,0,0,0,0,0,0,69.9999999999931,i,False,326.6909462773715,1240.0698138970847,Male,11,-0.705888239234874,-0.9024464952355163,407.584,1444.063
CA1HA_87,k,o,d̪,301.68,301.83,0.1499999999999772,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,final,medial,o,k,d̪,o,o,o,vowel,mid,back,BACK,voiced,rounded,301.755,26,398.6385923140744,993.1311737087586,2172.7115045819824,97.33620106791956,76.82875864845693,0,0,0,0,0,0,0,0,0,0,0,0,149.9999999999772,o,False,398.6385923140744,993.1311737087586,Male,12,0.050037809208328746,-1.921231008689495,462.208,1230.038
CA1HA_87,d̪,e,l,302.11,302.18,0.0699999999999931,técnico,de,además,301.98,302.18,0.1999999999999886,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,final,medial,e,d̪,l,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,302.145,28,297.84694437754456,1764.9910477144367,2635.3692698569344,--undefined--,77.20940005950762,0,0,0,0,0,0,0,0,0,0,0,0,69.9999999999931,e,False,297.84694437754456,1764.9910477144367,Male,13,-1.0089409946551346,1.2631992837662047,385.686,1899.019
CA1HA_87,l,a,u,302.25,302.3,0.0500000000000113,de,la,además,302.18,302.3,0.1200000000000045,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,final,medial,a,l,u,a,a,a,vowel,low,central,CENTRAL,voiced,unrounded,302.275,30,344.2401928098485,1494.8540137712982,2298.123310083153,103.1604333295977,81.07248454293303,0,0,0,0,0,0,0,0,0,0,0,0,50.0000000000113,a,False,344.2401928098485,1494.8540137712982,Male,14,-0.5215051035074935,0.14870611865533698,420.908,1664.888
CA1HA_87,a,u,n,302.3,302.34,0.0399999999999636,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,initial,medial,u,a,n,u,u,u,vowel,high,back,BACK,voiced,rounded,302.32,31,596.3422762296062,1672.2764599766324,2750.051089087107,102.71308809746048,80.62516484777501,0,0,0,0,0,0,0,0,0,0,0,0,39.9999999999636,u,False,596.3422762296062,1672.2764599766324,Male,15,2.1272338368405994,0.8806905516920797,612.307,1818.662
CA1HA_87,n,i,β,302.38,302.44,0.0600000000000022,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,i,n,β,i,i,i,vowel,high,front,FRONT,voiced,unrounded,302.41,33,325.3290929845581,1306.674986507801,2246.03729248162,103.46389388129086,81.384119220381,0,0,0,0,0,0,0,0,0,0,0,0,60.000000000002196,i,False,325.3290929845581,1306.674986507801,Male,16,-0.7201967042772277,-0.6276562950466088,406.55,1501.791
CA1HA_87,β,e,r,302.5,302.54,0.0400000000000204,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,e,β,r,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,302.52,35,396.3114189634694,1580.492950183961,2305.119789252611,50.355849201844634,78.86922303624075,0,0,0,0,0,0,0,0,0,0,0,0,40.0000000000204,e,False,396.3114189634694,1580.492950183961,Male,17,0.025587100229361604,0.5020231293076679,460.441,1739.112
CA1HA_87,s,i,ð,302.74,302.77,0.0299999999999727,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,i,s,ð,i,i,i,vowel,high,front,FRONT,voiced,unrounded,302.755,38,457.68867163776986,1873.4963211226095,2610.6857133958674,57.96373589667101,71.48622271182616,0,0,0,0,0,0,0,0,0,0,0,0,29.9999999999727,i,False,457.68867163776986,1873.4963211226095,Male,18,0.6704541199886382,1.7108549932656618,507.04,1993.062
CA1HA_87,ð,a,ð,302.82,303.02,0.1999999999999886,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,a,ð,ð,a,a,a,vowel,low,central,CENTRAL,voiced,unrounded,302.92,40,519.4884274842459,1576.4597222606692,1799.643086433986,97.55305019236343,80.65598603462723,0,0,0,0,0,0,0,0,0,0,0,0,199.9999999999886,a,False,519.4884274842459,1576.4597222606692,Male,19,1.3197602169240394,0.48538340802165847,553.959,1735.617
CA1HA_87,d̪,e,m,303.14,303.24,0.1000000000000227,universidad,de,además,303.03,303.24,0.2100000000000363,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,final,medial,e,d̪,m,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,303.19,43,392.7449707727304,1496.8888869130155,2161.1701793158004,117.2964913227652,81.49868249724624,0,0,0,0,0,0,0,0,0,0,0,0,100.0000000000227,e,False,392.7449707727304,1496.8888869130155,Male,20,-0.011884189469642899,0.15710131044081047,457.734,1666.651
CA1HA_87,m,i,l,303.32,303.38,0.0600000000000022,de,milán,además,303.24,303.73,0.4900000000000091,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,i,m,l,i,i,i,vowel,high,front,FRONT,voiced,unrounded,303.35,45,284.2942913635421,1106.909117837209,2102.996791316556,57.767957675845366,80.75272340781582,0,0,0,0,0,0,0,0,0,0,0,0,60.000000000002196,i,False,284.2942913635421,1106.909117837209,Male,21,-1.151333470339058,-1.4518220601252072,375.396,1328.651
CA1HA_87,l,a,n,303.46,303.59,0.1299999999999954,de,milán,además,303.24,303.73,0.4900000000000091,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,a,l,n,a,a,a,vowel,low,central,CENTRAL,voiced,unrounded,303.525,47,633.0547878204374,1584.597419834778,1728.1636753975124,53.55746251541856,80.87806209159677,0,0,0,0,0,0,0,0,0,0,0,0,129.9999999999954,a,False,633.0547878204374,1584.597419834778,Male,22,2.5129579757669105,0.5189567696363147,640.18,1742.67
CA1HA_87,c,e,e,303.9827,304.0127,0.0299999999999727,milán,que,el,303.9327,304.0127,0.079999999999984,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,final,medial,e,c,e,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,303.9977,50,424.6768414939355,1732.85491934873,2088.501132680637,--undefined--,70.36287074078041,0,0,0,0,0,0,0,0,0,0,0,0,29.9999999999727,e,False,424.6768414939355,1732.85491934873,Male,23,0.3236116075904318,1.1306165908495256,481.977,1871.166
CA1HA_87,e,e,s,304.0127,304.0727,0.0600000000000022,que,es,el,304.0127,304.1127,0.1000000000000227,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,initial,medial,e,e,s,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,304.0427,51,377.1575285555078,832.876025628438,2120.807206213882,--undefined--,82.05897229499632,0,0,0,0,0,0,0,0,0,0,0,0,60.000000000002196,e,False,377.1575285555078,832.876025628438,Male,24,-0.1756554071491065,-2.5823890313504747,445.899,1091.143
CA1HA_87,w,i,r,304.2527,304.2827,0.0299999999999727,es,muy,el,304.1127,304.2827,0.169999999999959,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,final,medial,i,w,r,i,i,i,vowel,high,front,FRONT,voiced,unrounded,304.2677,55,335.9395563542665,1152.6615037934937,2180.0006330800084,109.68233785233234,82.44479789495257,0,0,0,0,0,0,0,0,0,0,0,0,29.9999999999727,i,False,335.9395563542665,1152.6615037934937,Male,25,-0.6087166755474015,-1.263063337592824,414.606,1368.305
CA1HA_87,r,e,k,304.3427,304.4027,0.0600000000000022,muy,reconocida,el,304.2827,304.8627,0.5800000000000409,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,medial,medial,e,r,k,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,304.3727,57,339.98308124339565,1500.218739096115,2236.659008334752,109.4217689714946,77.90804083949972,0,0,0,0,0,0,0,0,0,0,0,0,60.000000000002196,e,False,339.98308124339565,1500.218739096115,Male,26,-0.566232925771045,0.17083914358691327,417.676,1669.537
CA1HA_87,k,o,n,304.4627,304.5127,0.0500000000000113,muy,reconocida,el,304.2827,304.8627,0.5800000000000409,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,medial,medial,o,k,n,o,o,o,vowel,mid,back,BACK,voiced,rounded,304.4877,59,191.3765154472139,1395.110275286798,2163.31693354678,--undefined--,79.22980126246539,0,0,0,0,0,0,0,0,0,0,0,0,50.0000000000113,o,False,191.3765154472139,1395.110275286798,Male,27,-2.1275845507806572,-0.26280248933130557,304.852,1578.439
CA1HA_87,n,o,s,304.5527,304.6027,0.0500000000000113,muy,reconocida,el,304.2827,304.8627,0.5800000000000409,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,medial,medial,o,n,s,o,o,o,vowel,mid,back,BACK,voiced,rounded,304.57770000000005,61,311.57193363076533,1090.7356267614302,2144.1746706251865,111.77665431672233,82.22018530894319,0,0,0,0,0,0,0,0,0,0,0,0,50.0000000000113,o,False,311.57193363076533,1090.7356267614302,Male,28,-0.8647378488590939,-1.5185483619462714,396.106,1314.633
CA1HA_87,s,i,ð,304.7427,304.8027,0.0600000000000022,muy,reconocida,el,304.2827,304.8627,0.5800000000000409,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,medial,medial,i,s,ð,i,i,i,vowel,high,front,FRONT,voiced,unrounded,304.7727,63,238.07847355287865,2048.724413555872,2077.770179699056,--undefined--,74.46177289084584,0,0,0,0,0,0,0,0,0,0,0,0,60.000000000002196,i,False,238.07847355287865,2048.724413555872,Male,29,-1.6369051666717485,2.433786271889953,340.309,2144.935
CA1HA_87,ð,a,e,304.8327,304.8627,0.0300000000000295,muy,reconocida,el,304.2827,304.8627,0.5800000000000409,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,final,medial,a,ð,e,a,a,a,vowel,low,central,CENTRAL,voiced,unrounded,304.84770000000003,65,286.15660565080043,1992.2488693873852,2482.16301332444,100.94243022201888,81.05126858563108,0,0,0,0,0,0,0,0,0,0,0,0,30.000000000029498,a,False,286.15660565080043,1992.2488693873852,Male,30,-1.131766855478464,2.200787459942738,376.81,2095.987
CA1HA_87,a,e,n,304.8627,304.8927,0.0299999999999727,reconocida,en,el,304.8627,304.9227,0.0600000000000022,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,initial,medial,e,a,n,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,304.8777,66,358.6612811750531,1706.12070419953,2459.8523309032166,101.49037696073096,81.21002630468412,0,0,0,0,0,0,0,0,0,0,0,0,29.9999999999727,e,False,358.6612811750531,1706.12070419953,Male,31,-0.36998831397141546,1.0203203474079163,431.857,1847.995
CA1HA_87,n,i,ɲ,304.9227,304.9527,0.0299999999999727,en,ingeniería,el,304.9227,305.2927,0.3700000000000045,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,initial,medial,i,n,ɲ,i,i,i,vowel,high,front,FRONT,voiced,unrounded,304.9377,68,395.3419486688923,1058.831411737521,2115.8367521557893,100.98648953267943,80.35858229681514,0,0,0,0,0,0,0,0,0,0,0,0,29.9999999999727,i,False,395.3419486688923,1058.831411737521,Male,32,0.015401251362410778,-1.6501742596003441,459.705,1286.981
CA1HA_87,ç,e,ɲ,305.0127,305.0527,0.0400000000000204,en,ingeniería,el,304.9227,305.2927,0.3700000000000045,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,medial,medial,e,ç,ɲ,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,305.0327,71,382.5839207435018,843.7413199397889,1938.0323326021291,95.60707582128184,80.23458205787408,0,0,0,0,0,0,0,0,0,0,0,0,40.0000000000204,e,False,382.5839207435018,843.7413199397889,Male,33,-0.118642406308456,-2.5375625369222155,450.019,1100.56
CA1HA_87,j,e,ɾ,305.1327,305.1727,0.0400000000000204,en,ingeniería,el,304.9227,305.2927,0.3700000000000045,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,medial,medial,e,j,ɾ,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,305.1527,74,316.97386287334166,1299.6005537469466,1989.8782012100285,96.90160745245801,80.64208542429564,0,0,0,0,0,0,0,0,0,0,0,0,40.0000000000204,e,False,316.97386287334166,1299.6005537469466,Male,34,-0.80798187071038,-0.6568429890882266,400.207,1495.659
CA1HA_87,ɾ,i,a,305.1927,305.2527,0.0600000000000022,en,ingeniería,el,304.9227,305.2927,0.3700000000000045,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,Había este otro componente músico,303.85265247675,305.823696779092,1.9710443023420223,medial,medial,i,ɾ,a,i,i,i,vowel,high,front,FRONT,voiced,unrounded,305.22270000000003,76,324.6100240150628,1673.6453605689137,2076.8750742751445,89.19017909659644,77.81544776078,0,0,0,0,0,0,0,0,0,0,0,0,60.000000000002196,i,False,324.6100240150628,1673.6453605689137,Male,35,-0.7277516834129096,0.8863381681315748,406.005,1819.849
